,_id,actions,spend,impressions,clicks,cpc,cpm,ctr,date_start,date_stop,publisher_platform,platform_position,post_engagement,page_engagement,video_view,link_click,campaign_id,post_reaction,post,landing_page_view,cpl,lead,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,comment,like,onsite_conversion.post_save,onsite_conversion.messaging_first_reply,onsite_conversion.messaging_conversation_started_7d,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
0,66d7e310b3fdb1cfea445fe6,"[{'action_type': 'post_engagement', 'value': '53'}, {'action_type': 'page_engagement', 'value': '53'}, {'action_type': 'video_view', 'value': '52'}, {'action_type': 'link_click', 'value': '1'}]",186.602796,746,9,20.733644,250.137796,1.206434,2024-08-31,2024-09-04,facebook,facebook_reels,53.0,53.0,52.0,1.0,120211992769850764,,,,,,,,,,,,,,,,
1,66d7e310b3fdb1cfea445fe7,,1.479784,132,0,,11.210487,0,2024-08-31,2024-09-04,facebook,facebook_reels_overlay,,,,,120211992769850764,,,,,,,,,,,,,,,,
2,66d7e310b3fdb1cfea445fe8,"[{'action_type': 'post_engagement', 'value': '17'}, {'action_type': 'page_engagement', 'value': '17'}, {'action_type': 'video_view', 'value': '15'}, {'action_type': 'link_click', 'value': '2'}]",75.508992,222,2,37.754496,340.130594,0.900901,2024-08-31,2024-09-04,facebook,facebook_stories,17.0,17.0,15.0,2.0,120211992769850764,,,,,,,,,,,,,,,,
3,66d7e310b3fdb1cfea445fe9,"[{'action_type': 'post_engagement', 'value': '180'}, {'action_type': 'page_engagement', 'value': '180'}, {'action_type': 'video_view', 'value': '162'}, {'action_type': 'post_reaction', 'value': '4'}, {'action_type': 'link_click', 'value': '14'}]",589.094118,2116,48,12.272794,278.399867,2.268431,2024-08-31,2024-09-04,facebook,feed,180.0,180.0,162.0,14.0,120211992769850764,4.0,,,,,,,,,,,,,,,
4,66d7e310b3fdb1cfea445fea,"[{'action_type': 'post_engagement', 'value': '36'}, {'action_type': 'page_engagement', 'value': '36'}, {'action_type': 'video_view', 'value': '34'}, {'action_type': 'link_click', 'value': '2'}]",28.595831,197,3,9.531944,145.156503,1.522843,2024-08-31,2024-09-04,facebook,instream_video,36.0,36.0,34.0,2.0,120211992769850764,,,,,,,,,,,,,,,,
5,66d7e310b3fdb1cfea445feb,,0.399942,4,0,,99.985423,0,2024-08-31,2024-09-04,facebook,marketplace,,,,,120211992769850764,,,,,,,,,,,,,,,,
6,66d7e310b3fdb1cfea445fec,,6.78901,10,0,,678.901025,0,2024-08-31,2024-09-04,facebook,search,,,,,120211992769850764,,,,,,,,,,,,,,,,
7,66d7e310b3fdb1cfea445fed,"[{'action_type': 'post_engagement', 'value': '2'}, {'action_type': 'page_engagement', 'value': '2'}, {'action_type': 'video_view', 'value': '1'}, {'action_type': 'link_click', 'value': '1'}]",17.727416,112,1,17.727416,158.280496,0.892857,2024-08-31,2024-09-04,facebook,video_feeds,2.0,2.0,1.0,1.0,120211992769850764,,,,,,,,,,,,,,,,
8,66d7e310b3fdb1cfea445fee,"[{'action_type': 'post_engagement', 'value': '26'}, {'action_type': 'page_engagement', 'value': '26'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'video_view', 'value': '23'}, {'action_type': 'post_reaction', 'value': '1'}, {'action_type': 'link_click', 'value': '1'}]",277.899486,382,2,138.949743,727.485565,0.52356,2024-08-31,2024-09-04,instagram,feed,26.0,26.0,23.0,1.0,120211992769850764,1.0,1.0,,,,,,,,,,,,,,
9,66d7e310b3fdb1cfea445fef,,1.829733,17,0,,107.631368,0,2024-08-31,2024-09-04,instagram,instagram_explore,,,,,120211992769850764,,,,,,,,,,,,,,,,
